                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.55815,                0.55968,                0.97311,                0.77989,                0.65611,                0.74583,                0.59056,                0.79462,                  1.047,                 1.1361,             0.00056556,             0.00056556,             0.00056556
                     65,                0.56822,                 0.5639,                0.96908,                0.76294,                0.62874,                0.71498,                0.57447,                0.78854,                 1.1194,                   1.15,              0.0005632,              0.0005632,              0.0005632
                     66,                 0.5724,                0.55889,                0.97943,                0.76485,                0.63354,                0.71196,                0.56926,                0.80389,                 1.0912,                 1.1479,             0.00056085,             0.00056085,             0.00056085
                     67,                0.57069,                0.57477,                0.98859,                0.78254,                0.68699,                0.76053,                0.62818,                0.75097,                0.94004,                 1.1169,             0.00055849,             0.00055849,             0.00055849
                     68,                0.56867,                0.55088,                0.97519,                0.74806,                0.65896,                0.71471,                 0.5867,                0.81915,                  1.138,                 1.1746,             0.00055613,             0.00055613,             0.00055613
                     69,                0.54977,                0.52746,                0.96746,                0.70943,                0.69437,                 0.7534,                0.61612,                0.79925,                 1.0599,                 1.1737,             0.00055378,             0.00055378,             0.00055378
                     70,                0.55064,                0.53713,                0.95885,                 0.8032,                0.67542,                0.76325,                0.62597,                0.77003,                0.99548,                 1.1566,             0.00055142,             0.00055142,             0.00055142
                     71,                0.54455,                0.52497,                0.96321,                0.75882,                0.68166,                0.75105,                0.61023,                0.72237,                  1.056,                 1.0673,             0.00054907,             0.00054907,             0.00054907
                     72,                0.54469,                 0.5313,                0.96612,                 0.7226,                0.68622,                0.73729,                0.59204,                0.78263,                 1.1268,                 1.1398,             0.00054671,             0.00054671,             0.00054671
                     73,                0.54239,                0.53269,                0.96636,                0.82303,                0.66764,                0.78085,                0.63592,                 0.7386,                0.92219,                 1.0941,             0.00054435,             0.00054435,             0.00054435
                     74,                0.53857,                0.52199,                0.96278,                0.81037,                0.70769,                0.80688,                0.66543,                0.71865,                0.87267,                 1.0877,               0.000542,               0.000542,               0.000542
                     75,                0.52521,                0.49824,                 0.9587,                0.78372,                0.70551,                0.77369,                0.62842,                0.74033,                0.99442,                 1.1012,             0.00053964,             0.00053964,             0.00053964
                     76,                0.54846,                0.50641,                0.96256,                0.86283,                0.65096,                0.78109,                0.64052,                0.75203,                0.97032,                 1.1185,             0.00053728,             0.00053728,             0.00053728
                     77,                0.53578,                0.52002,                0.95908,                0.77553,                0.71111,                0.76785,                0.61761,                0.77047,                0.99758,                 1.1388,             0.00053493,             0.00053493,             0.00053493
                     78,                0.53539,                0.50197,                0.96164,                0.79277,                0.62558,                 0.7456,                0.60157,                0.74461,                 1.0897,                 1.1117,             0.00053257,             0.00053257,             0.00053257
                     79,                0.53002,                0.50296,                0.96052,                0.77391,                0.67548,                0.75003,                  0.616,                0.74302,                 1.0555,                 1.1223,             0.00053022,             0.00053022,             0.00053022
                     80,                0.52933,                0.48784,                0.95598,                0.80172,                0.68145,                0.79284,                0.63989,                0.73551,                0.89167,                 1.1044,             0.00052786,             0.00052786,             0.00052786
                     81,                0.51226,                0.48941,                0.95675,                0.81231,                0.64285,                0.76436,                0.61349,                0.76645,                 1.0123,                 1.1254,              0.0005255,              0.0005255,              0.0005255
                     82,                0.52391,                0.48921,                0.95572,                0.81873,                0.68239,                0.77957,                 0.6366,                 0.7609,                0.96451,                 1.1253,             0.00052315,             0.00052315,             0.00052315
                     83,                 0.5121,                0.48445,                0.94962,                0.82687,                0.67879,                0.78398,                0.64518,                0.73174,                0.96366,                 1.1118,             0.00052079,             0.00052079,             0.00052079
                     84,                 0.5271,                0.48373,                0.94943,                0.81943,                0.69517,                0.77875,                 0.6359,                0.74964,                  1.019,                 1.1364,             0.00051844,             0.00051844,             0.00051844
                     85,                0.51408,                0.48362,                 0.9528,                0.83129,                0.62279,                0.76499,                0.62393,                 0.7554,                 1.0523,                 1.1465,             0.00051608,             0.00051608,             0.00051608
                     86,                0.52275,                 0.4815,                0.95254,                 0.7453,                0.64602,                0.71922,                0.57683,                 0.7497,                 1.2102,                 1.1343,             0.00051372,             0.00051372,             0.00051372
                     87,                0.52138,                0.48401,                0.94786,                0.76348,                0.72454,                0.77345,                0.63575,                0.77509,                0.98044,                 1.1379,             0.00051137,             0.00051137,             0.00051137
                     88,                0.51217,                0.48042,                0.95098,                0.85665,                0.65006,                0.76356,                0.63022,                0.74727,                0.98646,                 1.1192,             0.00050901,             0.00050901,             0.00050901
                     89,                 0.5205,                0.47219,                0.95009,                0.82523,                 0.6592,                0.77197,                0.62189,                0.78676,                 1.0357,                 1.1546,             0.00050665,             0.00050665,             0.00050665
                     90,                 0.5168,                0.47846,                0.94935,                0.78913,                0.67039,                0.75458,                0.60781,                0.77679,                  1.022,                 1.1478,              0.0005043,              0.0005043,              0.0005043
                     91,                0.52055,                0.46855,                0.95324,                0.71803,                0.73051,                0.75454,                 0.6148,                0.73076,                0.99531,                 1.1278,             0.00050194,             0.00050194,             0.00050194
                     92,                0.50669,                0.46377,                0.94928,                0.76689,                0.64465,                0.73142,                0.59948,                0.72555,                  1.095,                 1.0882,             0.00049959,             0.00049959,             0.00049959
                     93,                0.49744,                0.45183,                0.93883,                 0.7765,                0.68945,                0.77244,                0.63856,                0.72846,                0.96223,                 1.0806,             0.00049723,             0.00049723,             0.00049723
                     94,                0.49169,                0.46034,                0.94558,                 0.8096,                0.68553,                0.79341,                0.64702,                0.72647,                0.88193,                  1.097,             0.00049487,             0.00049487,             0.00049487
                     95,                0.50876,                0.48089,                0.94725,                0.80901,                0.66763,                0.77965,                0.64087,                0.73251,                0.94936,                 1.1079,             0.00049252,             0.00049252,             0.00049252
                     96,                0.49228,                0.46366,                0.94068,                 0.7719,                0.67311,                0.74599,                0.61606,                0.73721,                0.99834,                 1.1063,             0.00049016,             0.00049016,             0.00049016
                     97,                0.49408,                0.45028,                0.93228,                0.81354,                0.72564,                0.78349,                0.63528,                 0.7402,                0.88667,                 1.1128,              0.0004878,              0.0004878,              0.0004878
                     98,                0.48925,                0.45195,                0.94568,                0.81704,                0.65975,                0.76888,                0.63428,                 0.7363,                0.94209,                 1.1094,             0.00048545,             0.00048545,             0.00048545
                     99,                0.49241,                 0.4505,                0.94295,                0.83899,                0.67826,                0.77342,                 0.6324,                0.71483,                0.95936,                 1.0871,             0.00048309,             0.00048309,             0.00048309
                    100,                0.48893,                0.46046,                0.94309,                0.79186,                0.69301,                0.77782,                0.63027,                0.74873,                0.95078,                 1.1041,             0.00048074,             0.00048074,             0.00048074
                    101,                  0.478,                0.44243,                0.93748,                0.79057,                0.63487,                0.77372,                0.63564,                0.72969,                 1.0351,                 1.0847,             0.00047838,             0.00047838,             0.00047838
                    102,                0.50065,                0.47036,                0.94616,                0.77362,                0.72453,                0.76789,                0.61701,                0.74164,                 1.0108,                 1.1164,             0.00047602,             0.00047602,             0.00047602
                    103,                0.48046,                0.43613,                0.93393,                 0.7894,                0.67972,                0.75956,                0.62543,                0.75026,                0.98131,                 1.1253,             0.00047367,             0.00047367,             0.00047367
                    104,                 0.5006,                0.44726,                0.93235,                0.78992,                0.71804,                0.79639,                0.63984,                0.75322,                0.89303,                 1.1213,             0.00047131,             0.00047131,             0.00047131
                    105,                0.49688,                0.44743,                0.93843,                0.75769,                0.70254,                0.75704,                0.60718,                0.74005,                 1.0085,                 1.1063,             0.00046896,             0.00046896,             0.00046896
                    106,                0.47343,                0.43485,                0.94301,                0.85458,                 0.6188,                0.76082,                0.61292,                0.77818,                 1.0398,                 1.1347,              0.0004666,              0.0004666,              0.0004666
                    107,                 0.4693,                0.41246,                 0.9345,                0.83177,                0.69292,                0.79142,                0.64564,                0.72649,                0.84015,                 1.0997,             0.00046424,             0.00046424,             0.00046424
                    108,                0.45799,                0.41644,                0.92761,                0.78793,                0.72028,                0.78955,                 0.6442,                0.75792,                0.96512,                 1.1126,             0.00046189,             0.00046189,             0.00046189
                    109,                 0.4847,                  0.439,                0.93085,                0.80162,                0.67864,                0.76146,                0.63477,                0.71689,                0.96677,                 1.0792,             0.00045953,             0.00045953,             0.00045953
                    110,                0.48033,                0.42624,                0.93452,                0.82428,                0.69895,                0.79057,                0.65326,                0.70314,                 0.8757,                 1.0752,             0.00045717,             0.00045717,             0.00045717
                    111,                0.47396,                0.42657,                0.92874,                0.76122,                0.71556,                 0.7981,                0.65142,                0.73247,                0.91573,                 1.1103,             0.00045482,             0.00045482,             0.00045482
                    112,                0.48125,                0.43299,                0.93352,                0.83327,                0.66665,                0.78541,                0.65098,                0.70762,                0.93646,                 1.0833,             0.00045246,             0.00045246,             0.00045246
                    113,                0.47233,                0.43643,                0.92333,                0.78235,                0.69187,                0.75739,                0.62318,                0.74004,                0.96083,                 1.1116,             0.00045011,             0.00045011,             0.00045011
                    114,                0.47154,                0.44367,                0.93379,                0.80306,                0.66067,                0.75713,                0.62751,                 0.7331,                0.97806,                  1.111,             0.00044775,             0.00044775,             0.00044775
                    115,                0.46269,                0.42391,                0.93716,                0.84096,                0.66451,                0.78407,                0.65375,                0.67639,                0.93115,                 1.0602,             0.00044539,             0.00044539,             0.00044539
                    116,                0.47107,                0.41446,                0.93732,                0.84637,                0.64781,                 0.7694,                  0.627,                  0.733,                 1.0096,                 1.1069,             0.00044304,             0.00044304,             0.00044304
                    117,                0.47225,                0.42599,                0.92482,                0.85844,                0.65943,                0.77619,                0.64671,                0.69386,                0.94469,                 1.0678,             0.00044068,             0.00044068,             0.00044068
                    118,                 0.4664,                0.41088,                 0.9287,                0.89014,                0.66148,                0.79687,                0.66554,                0.69657,                0.90938,                 1.0909,             0.00043832,             0.00043832,             0.00043832
                    119,                0.45688,                0.41293,                0.92624,                0.78913,                0.68328,                 0.7574,                0.63733,                0.73124,                 1.0237,                 1.1198,             0.00043597,             0.00043597,             0.00043597
                    120,                0.45589,                0.41374,                0.92484,                0.81164,                0.66815,                0.77499,                  0.638,                0.72471,                0.96648,                 1.0932,             0.00043361,             0.00043361,             0.00043361
                    121,                0.47259,                0.42649,                 0.9315,                0.83379,                0.74621,                0.82221,                0.66999,                0.73554,                0.81646,                 1.0905,             0.00043126,             0.00043126,             0.00043126
                    122,                0.47597,                0.42141,                0.92849,                0.84436,                0.72165,                0.81808,                0.67596,                0.71362,                0.82093,                 1.0943,              0.0004289,              0.0004289,              0.0004289
                    123,                0.44884,                0.39871,                0.91655,                0.82644,                 0.7276,                0.79774,                0.65076,                0.72804,                0.92489,                 1.0988,             0.00042654,             0.00042654,             0.00042654
                    124,                0.46396,                0.42412,                0.92791,                0.79546,                0.69311,                0.77498,                0.64847,                0.70456,                0.96048,                 1.0811,             0.00042419,             0.00042419,             0.00042419
                    125,                 0.4663,                0.41954,                0.93033,                0.83036,                0.71723,                0.81458,                 0.6632,                0.73921,                0.89411,                 1.1105,             0.00042183,             0.00042183,             0.00042183
                    126,                0.44665,                0.39733,                0.91483,                0.81091,                0.71871,                 0.8076,                 0.6667,                0.76714,                0.86824,                 1.1475,             0.00041947,             0.00041947,             0.00041947
                    127,                0.44138,                0.38616,                0.92202,                0.79695,                0.71362,                0.81183,                0.67901,                0.68945,                0.85527,                  1.089,             0.00041712,             0.00041712,             0.00041712
                    128,                0.45314,                0.40611,                0.91216,                0.85232,                0.69306,                0.79692,                0.66386,                0.73215,                0.93816,                 1.1107,             0.00041476,             0.00041476,             0.00041476
                    129,                0.45362,                0.40973,                0.92576,                 0.8183,                0.72625,                0.82283,                0.68004,                0.72686,                0.80756,                 1.1223,             0.00041241,             0.00041241,             0.00041241
                    130,                0.46066,                0.41087,                 0.9244,                0.82117,                0.70398,                0.78149,                0.64265,                0.72556,                0.86543,                 1.0973,             0.00041005,             0.00041005,             0.00041005
                    131,                0.44815,                0.38799,                0.91919,                0.82906,                0.70831,                0.79879,                0.65487,                0.74471,                0.89227,                 1.1294,             0.00040769,             0.00040769,             0.00040769
                    132,                0.44429,                0.38905,                0.91491,                0.80984,                0.71173,                0.79894,                0.66031,                 0.7091,                0.84273,                 1.1256,             0.00040534,             0.00040534,             0.00040534
                    133,                0.43527,                0.38379,                  0.916,                0.83881,                0.68685,                0.79707,                 0.6641,                0.71161,                0.92202,                 1.0924,             0.00040298,             0.00040298,             0.00040298
                    134,                0.44109,                0.38703,                0.91763,                0.82221,                0.71028,                0.80255,                0.66415,                0.72575,                0.90011,                 1.1588,             0.00040063,             0.00040063,             0.00040063
                    135,                 0.4453,                0.39311,                0.92207,                0.82566,                0.67475,                0.76927,                0.62748,                0.74021,                0.96973,                 1.1444,             0.00039827,             0.00039827,             0.00039827
                    136,                 0.4301,                0.37883,                0.90905,                0.80548,                0.70019,                0.78377,                0.64813,                0.73307,                 0.9458,                 1.1288,             0.00039591,             0.00039591,             0.00039591
                    137,                0.44425,                0.38737,                0.91908,                0.73395,                0.73799,                0.77601,                0.64924,                0.70178,                0.97267,                 1.1074,             0.00039356,             0.00039356,             0.00039356
                    138,                0.42977,                0.38594,                0.91489,                0.78319,                0.67705,                0.77709,                0.66047,                0.68529,                0.98793,                 1.0877,              0.0003912,              0.0003912,              0.0003912
                    139,                0.44758,                0.39186,                0.91848,                0.75372,                0.72757,                0.79554,                0.66339,                0.69804,                0.93178,                 1.0792,             0.00038884,             0.00038884,             0.00038884
                    140,                0.43764,                0.37414,                0.91785,                0.85024,                0.70576,                0.81824,                0.68865,                0.66431,                0.81623,                 1.0635,             0.00038649,             0.00038649,             0.00038649
